Name,Ticker,Weight,Sector
Scripps Networks Interactive Inc. Class A,SNI,0.03112,Consumer Discretionary
FMC Technologies Inc.,FTI,0.031106,Energy
Staples Inc.,SPLS,0.031028,Consumer Discretionary
Discovery Communications Inc. Class C,DISCK,0.030902,Consumer Discretionary
Zions Bancorporation,ZION,0.030572,Financials
Frontier Communications Corporation,FTR,0.030104,Telecommunication Services
Nordstrom Inc.,JWN,0.029959,Consumer Discretionary
Gap Inc.,GPS,0.028633,Consumer Discretionary
H&R Block Inc.,HRB,0.028418,Consumer Discretionary
Assurant Inc.,AIZ,0.027863,Financials
CF Industries Holdings Inc.,CF,0.026638,Materials
News Corporation Class A,NWSA,0.026384,Consumer Discretionary
Dun & Bradstreet Corporation,DNB,0.026206,Industrials
Robert Half International Inc.,RHI,0.025537,Industrials
People's United Financial Inc.,PBCT,0.025156,Financials
Navient Corp,NAVI,0.024567,Financials
TEGNA Inc.,TGNA,0.024197,Consumer Discretionary
Endo International Plc,ENDP,0.023993,Health Care
Murphy Oil Corporation,MUR,0.023572,Energy
FLIR Systems Inc.,FLIR,0.022888,Information Technology
Teradata Corporation,TDC,0.021877,Information Technology
NRG Energy Inc.,NRG,0.021038,Utilities
Discovery Communications Inc. Class A,DISCA,0.020421,Consumer Discretionary
Patterson Companies Inc.,PDCO,0.02031,Health Care
Quanta Services Inc.,PWR,0.019809,Industrials
Legg Mason Inc.,LM,0.019211,Financials
AutoNation Inc.,AN,0.018927,Consumer Discretionary
CSRA Inc.,CSRA,0.018861,Information Technology
Pitney Bowes Inc.,PBI,0.018578,Industrials
Transocean Ltd.,RIG,0.018545,Energy
Ryder System Inc.,R,0.0185,Industrials
Owens-Illinois Inc.,OI,0.015908,Materials
First Solar Inc.,FSLR,0.015565,Information Technology
Chesapeake Energy Corporation,CHK,0.01489,Energy
Urban Outfitters Inc.,URBN,0.013604,Consumer Discretionary
News Corporation Class B,NWS,0.007952,Consumer Discretionary
Diamond Offshore Drilling Inc.,DO,0.007005,Energy
